Node  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UY (mm)
9245;564,707  ;-13,7404  ;16,4242  ;-3,12284e+01
1094;564,706  ;-0,377068  ;20;-3,12217e+01
390;564,706  ;-0,377068  ;-20;-3,12218e+01
10590;564,706  ;9,81147  ;20;-3,12237e+01
10593;564,706  ;-9,81147  ;-20;-3,12237e+01
13998;564,706  ;9,81147  ;-20;-3,12237e+01
14737;564,706  ;-9,81147  ;20;-3,12237e+01
47;564,706  ;20;-20;-3,12300e+01
133;564,706  ;-20;-20;-3,12300e+01
473;564,706  ;20;20;-3,12300e+01
815;564,706  ;-20;20;-3,12300e+01
10665;564,706  ;-20;9,81147  ;-3,12362e+01
11587;564,706  ;20;-9,81147  ;-3,12362e+01
13364;564,706  ;-20;-9,81147  ;-3,12362e+01
14245;564,706  ;20;9,81147  ;-3,12362e+01
703;564,706  ;20;-0,377068  ;-3,12382e+01
1343;564,706  ;-20;-0,377068  ;-3,12382e+01
11022;564,697  ;-16,7068  ;-3,12759  ;-3,12347e+01
1988;564,688  ;-13,4136  ;-5,87811  ;-3,12312e+01
11027;564,652  ;4,24433  ;6,07701  ;-3,12243e+01
10336;564,271  ;0,0759768  ;12,6296  ;-3,11840e+01
10335;564,269  ;3,62783  ;16,2054  ;-3,11820e+01
8317;564,269  ;13,8164  ;16,2054  ;-3,11857e+01
8264;564,269  ;13,8164  ;6,01689  ;-3,11904e+01
2091;563,833  ;7,63272  ;12,4109  ;-3,11424e+01
4736;563,454  ;5,5756  ;-0,161883  ;-3,11079e+01
5751;563,225  ;9,14084  ;-6,15355  ;-3,10858e+01
7008;563,071  ;15,1476  ;-0,222001  ;-3,10746e+01
12250;563,044  ;-15,9487  ;6,36916  ;-3,10716e+01
4742;562,691  ;-10,3327  ;1,38192  ;-3,10348e+01
5569;562,635  ;8,96399  ;6,17196  ;-3,10280e+01
5559;562,318  ;0,727573  ;-5,49311  ;-3,09955e+01
5756;562,177  ;-3,52435  ;-11,5279  ;-3,09798e+01
5750;562,089  ;4,29281  ;-11,4848  ;-3,09714e+01
5752;562,006  ;-8,72969  ;-16,1632  ;-3,09618e+01
