t,frame,body,node,x,y,z,vx,vy,vz
3.1099999999997685,311,2,3,0.40739281123830701,-0.037720550470546864,-0.13458635763110652,0.60976703333340554,-0.33110985188029146,1.5899115381854734
3.1099999999997685,311,2,4,0.5437904254110657,-0.060737950160521297,-0.17788400475915017,0.63549816833176254,-0.46461789522995955,1.6570031095366702
3.1099999999997685,311,2,5,0.67960140467076469,-0.085766661252981366,-0.22271124854622759,0.56373418105563489,-0.56832589916871445,1.4698851035454792
3.1099999999997685,311,2,6,0.81491688515760274,-0.1116344791188071,-0.26883045987674842,0.4286882374864282,-0.64736831462844613,1.1177652083585126
3.1099999999997685,311,2,7,0.95003793966314665,-0.13770357458982463,-0.31545661909733952,0.27164960834221996,-0.71680749311576486,0.70830140535116182
3.1199999999997674,312,0,0,1.8823892815439611,0.005938416718563766,-0.79873608285770215,2.1597878721157477,1.4728059379912883,3.7803434090377204
3.1199999999997674,312,0,1,1.992499007297436,0.02655447957525434,-0.88928423329572959,2.5196923345292683,1.7576293677047898,4.304225922992039
3.1199999999997674,312,0,2,2.1141356444318444,0.01799208544353656,-0.97884941227960032,2.8993470450306678,1.5624072044600199,4.6524331500686706
3.1199999999997674,312,0,3,2.2439469872911557,-0.012598111104019219,-1.068268014273853,3.2212256799028243,1.0191924712356975,4.7918802153883462
3.1199999999997674,312,0,4,2.3789552219840115,-0.058454824774826636,-1.1581142387967578,3.4384676150535434,0.24760503373454096,4.71898343603584
3.1199999999997674,312,0,5,2.5167900268434491,-0.11357733204441126,-1.2485899503209019,3.5470464258698469,-0.65363787624082559,4.4699084903600355
3.1199999999997674,312,0,6,2.6558170008324007,-0.17314560531611298,-1.3395529219021154,3.5808793114089239,-1.6126077951827651,4.1126202739211246
3.1199999999997674,312,0,7,2.795133842042373,-0.2339551228034486,-1.4307004726510708,3.5879189140973988,-2.5865203941363357,3.7189135334382151
3.1199999999997674,312,1,0,0.95146536935332326,-0.14542909426714315,-0.30780061005406506,0.50158523564710866,-1.6329598535016256,1.5231346240976569
3.1199999999997674,312,1,1,1.0813108100847126,-0.16008724871165511,-0.36721165878796436,0.82503916938695854,-1.6923722357098612,2.3578538500974435
3.1199999999997674,312,1,2,1.2112869249519662,-0.15450902907666875,-0.43663860056008563,1.120733087713504,-1.6353961581684358,3.0640651082110706
3.1199999999997674,312,1,3,1.3424528584690909,-0.13432537655987331,-0.51057014547470581,1.3311923311838996,-1.4451292839500893,3.4902043217270298
3.1199999999997674,312,1,4,1.4754131006644862,-0.10461624535771559,-0.58490718617181225,1.4254569554522678,-1.1221159503355631,3.559559026852174
3.1199999999997674,312,1,5,1.6101402472244368,-0.069543039870493567,-0.65759138040144194,1.4092672174240484,-0.69031421797045311,3.298646633870896
3.1199999999997674,312,1,6,1.7460545676851034,-0.03210505709628908,-0.72853174100906171,1.320087560065216,-0.19218593263128136,2.8223311698692242
3.1199999999997674,312,1,7,1.8823892815439611,0.005938416718563766,-0.79873608285770215,1.2052902449696512,0.32816300562023792,2.2709553605432746
3.1199999999997674,312,2,0,0,0,0,0,0,0
3.1199999999997674,312,2,1,0.13669421344050309,-0.005583610866656737,-0.041631512309011014,0.19418689428353927,-0.052791377056816052,0.58967601358454258
3.1199999999997674,312,2,2,0.27442183759418071,-0.020242150583990558,-0.080124926591434512,0.35741933532749637,-0.17772040443226142,1.0853544448072501
3.1199999999997674,312,2,3,0.41190750041441687,-0.041044309684168168,-0.11935309073981472,0.45957951345419973,-0.33005533077202182,1.3955782980034426
3.1199999999997674,312,2,4,0.54831713697102402,-0.065475738835792885,-0.1618487610707828,0.48590671386986767,-0.47734248443982641,1.4755245716550744
3.1199999999997674,312,2,5,0.6834387170286601,-0.091670468684127954,-0.20825579743078809,0.44278523146313881,-0.60475947799548224,1.3445800816096853
3.1199999999997674,312,2,6,0.81762435435363612,-0.11849121731278156,-0.25750495648694566,0.35461431787696718,-0.71422782355403369,1.0768366119516088
3.1199999999997674,312,2,7,0.95146536935332326,-0.14542909426714315,-0.30780061005406506,0.25079261782355428,-0.81647992675081282,0.76156731204882844
3.1299999999997663,313,0,0,1.9010494883802536,0.016258602285096624,-0.78796420925938082,1.9379751316708227,1.5625390960296071,3.5987834265387737
